,Average Training Accuracy,Average Training Loss,Average Training Precision,Average Training Sensitivity,Average Training Specificity,Average Training F1,Average Training JS,Average Training Dice Coefficient,Epochs
40,0.9635395398215643,0.08812105766541901,0.9470637408620051,0.9470637408620051,0.9886531089511127,0.8995005094598498,0.8178128725802816,0.8995010079247756,41
41,0.9649854236178929,0.08515494538559801,0.9482870763236642,0.9482870763236642,0.9886869144792989,0.9049168771296883,0.8266718195674285,0.904917375857229,42
42,0.9660961741492858,0.08243550466639656,0.9495828076628887,0.9495828076628887,0.9890719891341933,0.9071788470456655,0.8305035023670704,0.9071793458237042,43
43,0.967533376481798,0.07996596138746966,0.949963347448041,0.949963347448041,0.9890072284201322,0.91226876389518,0.8389062813568202,0.9122692629583036,44
44,0.9664498283749536,0.08134469389915466,0.951223581061049,0.951223581061049,0.9892573983167788,0.9087446125798836,0.8331011518241718,0.9087451112131449,45
45,0.9682882097032338,0.0777927649961341,0.9514354779064721,0.9514354779064721,0.9895498257214734,0.913349891044684,0.8408490569048422,0.9133503900387273,46
46,0.9677779258243626,0.07930771789203088,0.9519230806198268,0.9519230806198268,0.9895484590648238,0.9120457753261358,0.8387040499756457,0.9120462742473288,47
47,0.9690630095345631,0.07631619642710402,0.9516850708613466,0.9516850708613466,0.989444489441072,0.9158313662018992,0.8449880842830666,0.9158318652876222,48
48,0.9692476666162887,0.07552030163684062,0.9542934895592354,0.9542934895592354,0.9900048475382347,0.9161337885545494,0.8455297998596895,0.9161342875844726,49
49,0.969886991712782,0.07404236508799451,0.9541963829177088,0.9541963829177088,0.9900336275502116,0.9181724576089147,0.8490842651270706,0.9181729566631724,50
50,0.9701061551533047,0.07417948198105608,0.9540635289879934,0.9540635289879934,0.98996208118249,0.9188470661433905,0.8501483292672997,0.9188475653142241,51
51,0.9701713304671035,0.0733377028788839,0.9544579948817312,0.9544579948817312,0.990054492939333,0.9189908915266349,0.8503880505244887,0.9189913906213854,52
52,0.9711254210699172,0.07149400362478835,0.9544549529310468,0.9544549529310468,0.9901520920395952,0.9210484581874623,0.8538863515342348,0.9210489574320262,53
53,0.9708444201757038,0.07187321139056058,0.9555037663842583,0.9555037663842583,0.9902178390910624,0.9207507352954862,0.8533900931585553,0.9207512344591516,54
54,0.9704874205210853,0.072947083750651,0.954998485571547,0.954998485571547,0.9900694344968864,0.919464832841218,0.8512447934265233,0.9194653319885585,55
55,0.9703151157924107,0.07322058919817209,0.9550866120512734,0.9550866120512734,0.9901473076911219,0.9188811471349461,0.850430872329226,0.9188816462058182,56
56,0.9716288324386358,0.06964649934144247,0.9553556224730437,0.9553556224730437,0.9901776433502408,0.9224838262924977,0.8564010582403234,0.9224843255311231,57
57,0.9702201419406461,0.07217755683121227,0.9548633939475053,0.9548633939475053,0.9900762618631729,0.9191276247100311,0.8506496188988457,0.9191281237892299,58
58,0.970836980002267,0.07069095530148063,0.9551364584420368,0.9551364584420368,0.9901211701094097,0.9202992614103407,0.8526321740543382,0.920299760567385,59
59,0.9702316919962568,0.07236865978865396,0.9547352105964111,0.9547352105964111,0.9900462835791882,0.9202031700925201,0.8524791063179362,0.920203669173806,60
60,0.9712119253854901,0.07030441518872976,0.9562418813863851,0.9562418813863851,0.9903335448883691,0.9221550532331607,0.8557888505003705,0.9221555524591661,61
61,0.9713700461009195,0.06955203019259941,0.9556014882699196,0.9556014882699196,0.9902239965133129,0.9217651630686442,0.8552423338084716,0.9217656622592998,62
62,0.9706122610304093,0.07041811091559273,0.955220085105279,0.955220085105279,0.9900884056705775,0.9200801976568109,0.8523278907623613,0.9200806966628177,63
63,0.9694803404429602,0.07390145562766563,0.9509353852353912,0.9509353852353912,0.9892630533725838,0.9172404310052642,0.8474039478778446,0.9172409301323473,64
64,0.9681998358832461,0.07569437403054464,0.9511886187249813,0.9511886187249813,0.9891577421330553,0.9136603090434412,0.8414616050717859,0.9136608078664346,65
65,0.9685622321234811,0.07445553707934562,0.951699494152902,0.951699494152902,0.9894643082070458,0.9148447649793371,0.8433844164262735,0.9148452639282499,66
66,0.9699162528628398,0.07153903413563967,0.9529712293461866,0.9529712293461866,0.9896652397954339,0.9181267764283054,0.8489482671198365,0.9181272756292287,67
67,0.9690203212556385,0.07314720638983306,0.9531471503604267,0.9531471503604267,0.9896928143730406,0.9155871942120528,0.8446558828807491,0.9155876931676787,68
68,0.9684507279168996,0.07475933264054004,0.9503738446897918,0.9503738446897918,0.9891357076516581,0.9146609982576579,0.8429750440912985,0.9146614973297383,69
69,0.9679347976805669,0.07670986918466431,0.9498436083535308,0.9498436083535308,0.9891313997376824,0.9121755137812199,0.8389884149013253,0.9121760126867274,70
70,0.9676403393821109,0.07636045779855478,0.9502232167903253,0.9502232167903253,0.9890555354692416,0.9122606777050952,0.8390452259296999,0.9122611766169348,71
71,0.9671044046916658,0.07604394511630137,0.9510283827764241,0.9510283827764241,0.9893088146200149,0.9105275749461138,0.8361253580877795,0.9105280736489566,72
72,0.9662578068082294,0.07922050884614389,0.949191375270876,0.949191375270876,0.9889288929070678,0.9109914643676204,0.8368931307962575,0.9109919631265557,73
73,0.9539505867731002,0.10829558338792551,0.9301566071271606,0.9301566071271606,0.9857273745811804,0.871997930413846,0.7740137255675057,0.8719984276828114,74
74,0.9644074364314005,0.08328458436188244,0.9450300887328567,0.9450300887328567,0.9881095620066193,0.9029840540691616,0.8235149216066514,0.9029845525927642,75
75,0.9645146793789333,0.08238955950807958,0.9459598522596764,0.9459598522596764,0.9885135532973285,0.9027848773295484,0.8232166202191735,0.9027853757694417,76
